ILSVRC2012_val_00000086_scattered cinema
ILSVRC2012_val_00000122_scattered castle
ILSVRC2012_val_00000129_scattered hotdog
ILSVRC2012_val_00000152_scattered mailbox
ILSVRC2012_val_00000155_scattered broccoli
ILSVRC2012_val_00000165_scattered broccoli
ILSVRC2012_val_00000167_scattered scoreboard
ILSVRC2012_val_00000197_scattered hotdog
ILSVRC2012_val_00000213_scattered car
ILSVRC2012_val_00000273_scattered skunk
ILSVRC2012_val_00000305_scattered handkerchief
ILSVRC2012_val_00000306_scattered water
ILSVRC2012_val_00000309_scattered hotdog
ILSVRC2012_val_00000330_scattered dam
ILSVRC2012_val_00000349_scattered spindle
ILSVRC2012_val_00000364_scattered mailbox
ILSVRC2012_val_00000384_scattered lawn
ILSVRC2012_val_00000386_scattered jellyfish
ILSVRC2012_val_00000423_scattered bell
ILSVRC2012_val_00000443_scattered artichoke
ILSVRC2012_val_00000447_scattered skunk
ILSVRC2012_val_00000482_scattered wardrobe
ILSVRC2012_val_00000523_scattered common
ILSVRC2012_val_00000532_scattered cinema
ILSVRC2012_val_00000538_scattered washbasin
ILSVRC2012_val_00000552_scattered water
ILSVRC2012_val_00000563_scattered scoreboard
ILSVRC2012_val_00000596_scattered cannon
ILSVRC2012_val_00000607_scattered jigsaw
ILSVRC2012_val_00000647_scattered iPod
ILSVRC2012_val_00000667_scattered revolver
ILSVRC2012_val_00000711_scattered lemon
ILSVRC2012_val_00000724_scattered boathouse
ILSVRC2012_val_00000728_scattered guacamole
ILSVRC2012_val_00000738_scattered cinema
ILSVRC2012_val_00000741_scattered handkerchief
ILSVRC2012_val_00000742_scattered guacamole
ILSVRC2012_val_00000753_scattered planetarium
ILSVRC2012_val_00000811_scattered hotdog
ILSVRC2012_val_00000872_scattered planetarium
ILSVRC2012_val_00000900_scattered kimono
ILSVRC2012_val_00000904_scattered computer
ILSVRC2012_val_00000915_scattered coil
ILSVRC2012_val_00000970_scattered koala
ILSVRC2012_val_00001071_scattered computer
ILSVRC2012_val_00001089_scattered computer
ILSVRC2012_val_00001170_scattered milk
ILSVRC2012_val_00001188_scattered jigsaw
ILSVRC2012_val_00001205_scattered scoreboard
ILSVRC2012_val_00001239_scattered sewing
ILSVRC2012_val_00001240_scattered spindle
ILSVRC2012_val_00001322_scattered mailbox
ILSVRC2012_val_00001351_scattered coil
ILSVRC2012_val_00001355_scattered boathouse
ILSVRC2012_val_00001360_scattered water
ILSVRC2012_val_00001364_scattered washbasin
ILSVRC2012_val_00001372_scattered hay
ILSVRC2012_val_00001374_scattered bell
ILSVRC2012_val_00001378_scattered guacamole
ILSVRC2012_val_00001383_scattered boathouse
ILSVRC2012_val_00001399_scattered cannon
ILSVRC2012_val_00001430_scattered jigsaw
ILSVRC2012_val_00001431_scattered accordion
ILSVRC2012_val_00001433_scattered lawn
ILSVRC2012_val_00001451_scattered freight
ILSVRC2012_val_00001472_scattered sea
ILSVRC2012_val_00001517_scattered basketball
ILSVRC2012_val_00001528_scattered cannon
ILSVRC2012_val_00001549_scattered artichoke
ILSVRC2012_val_00001592_scattered torch
ILSVRC2012_val_00001603_scattered sewing
ILSVRC2012_val_00001612_scattered wardrobe
ILSVRC2012_val_00001639_scattered screw
ILSVRC2012_val_00001657_scattered spindle
ILSVRC2012_val_00001671_scattered lemon
ILSVRC2012_val_00001681_scattered strainer
ILSVRC2012_val_00001715_scattered sewing
ILSVRC2012_val_00001721_scattered skunk
ILSVRC2012_val_00001741_scattered washbasin
ILSVRC2012_val_00001759_scattered spindle
ILSVRC2012_val_00001785_scattered guacamole
ILSVRC2012_val_00001787_scattered car
ILSVRC2012_val_00001788_scattered turnstile
ILSVRC2012_val_00001789_scattered revolver
ILSVRC2012_val_00001799_scattered seat
ILSVRC2012_val_00001802_scattered common
ILSVRC2012_val_00001828_scattered scoreboard
ILSVRC2012_val_00001831_scattered iPod
ILSVRC2012_val_00001832_scattered wardrobe
ILSVRC2012_val_00001839_scattered lawn
ILSVRC2012_val_00001865_scattered piggy
ILSVRC2012_val_00001878_scattered screw
ILSVRC2012_val_00001886_scattered piggy
ILSVRC2012_val_00001895_scattered turnstile
ILSVRC2012_val_00001897_scattered handkerchief
ILSVRC2012_val_00001902_scattered cannon
ILSVRC2012_val_00001950_scattered common
ILSVRC2012_val_00001969_scattered planetarium
ILSVRC2012_val_00001981_scattered coil
ILSVRC2012_val_00002009_scattered freight
ILSVRC2012_val_00002016_scattered wardrobe
ILSVRC2012_val_00002033_scattered go-kart
ILSVRC2012_val_00002061_scattered castle
ILSVRC2012_val_00002067_scattered strainer
ILSVRC2012_val_00002088_scattered screw
ILSVRC2012_val_00002091_scattered seat
ILSVRC2012_val_00002098_scattered lemon
ILSVRC2012_val_00002102_scattered turnstile
ILSVRC2012_val_00002108_scattered washbasin
ILSVRC2012_val_00002113_scattered milk
ILSVRC2012_val_00002118_scattered balloon
ILSVRC2012_val_00002156_scattered scoreboard
ILSVRC2012_val_00002161_scattered boathouse
ILSVRC2012_val_00002184_scattered hay
ILSVRC2012_val_00002198_scattered kimono
ILSVRC2012_val_00002203_scattered mailbox
ILSVRC2012_val_00002215_scattered planetarium
ILSVRC2012_val_00002217_scattered custard
ILSVRC2012_val_00002227_scattered boathouse
ILSVRC2012_val_00002238_scattered greenhouse
ILSVRC2012_val_00002299_scattered revolver
ILSVRC2012_val_00002331_scattered torch
ILSVRC2012_val_00002344_scattered iPod
ILSVRC2012_val_00002350_scattered guacamole
ILSVRC2012_val_00002361_scattered accordion
ILSVRC2012_val_00002363_scattered lemon
ILSVRC2012_val_00002427_scattered dam
ILSVRC2012_val_00002438_scattered revolver
ILSVRC2012_val_00002459_scattered turnstile
ILSVRC2012_val_00002463_scattered seat
ILSVRC2012_val_00002470_scattered milk
ILSVRC2012_val_00002474_scattered greenhouse
ILSVRC2012_val_00002487_scattered castle
ILSVRC2012_val_00002499_scattered computer
ILSVRC2012_val_00002504_scattered sea
ILSVRC2012_val_00002538_scattered basketball
ILSVRC2012_val_00002557_scattered snow
ILSVRC2012_val_00002572_scattered snow
ILSVRC2012_val_00002586_scattered cinema
ILSVRC2012_val_00002589_scattered dam
ILSVRC2012_val_00002595_scattered freight
ILSVRC2012_val_00002606_scattered solar
ILSVRC2012_val_00002620_scattered planetarium
ILSVRC2012_val_00002644_scattered custard
ILSVRC2012_val_00002646_scattered snow
ILSVRC2012_val_00002755_scattered computer
ILSVRC2012_val_00002766_scattered bell
ILSVRC2012_val_00002793_scattered spindle
ILSVRC2012_val_00002809_scattered balloon
ILSVRC2012_val_00002811_scattered koala
ILSVRC2012_val_00002829_scattered coil
ILSVRC2012_val_00002833_scattered iPod
ILSVRC2012_val_00002835_scattered artichoke
ILSVRC2012_val_00002841_scattered strainer
ILSVRC2012_val_00002861_scattered handkerchief
ILSVRC2012_val_00002954_scattered hay
ILSVRC2012_val_00002961_scattered hay
ILSVRC2012_val_00002962_scattered turnstile
ILSVRC2012_val_00002978_scattered koala
ILSVRC2012_val_00002984_scattered handkerchief
ILSVRC2012_val_00003029_scattered jigsaw
ILSVRC2012_val_00003046_scattered bell
ILSVRC2012_val_00003078_scattered piggy
ILSVRC2012_val_00003090_scattered car
ILSVRC2012_val_00003097_scattered koala
ILSVRC2012_val_00003106_scattered scoreboard
ILSVRC2012_val_00003123_scattered revolver
ILSVRC2012_val_00003126_scattered spindle
ILSVRC2012_val_00003130_scattered wardrobe
ILSVRC2012_val_00003141_scattered milk
ILSVRC2012_val_00003149_scattered sea
ILSVRC2012_val_00003186_scattered go-kart
ILSVRC2012_val_00003197_scattered turnstile
ILSVRC2012_val_00003254_scattered koala
ILSVRC2012_val_00003319_scattered common
ILSVRC2012_val_00003323_scattered torch
ILSVRC2012_val_00003325_scattered piggy
ILSVRC2012_val_00003335_scattered sea
ILSVRC2012_val_00003345_scattered lemon
ILSVRC2012_val_00003347_scattered torch
ILSVRC2012_val_00003349_scattered water
ILSVRC2012_val_00003359_scattered jellyfish
ILSVRC2012_val_00003372_scattered car
ILSVRC2012_val_00003395_scattered screw
ILSVRC2012_val_00003419_scattered jellyfish
ILSVRC2012_val_00003432_scattered accordion
ILSVRC2012_val_00003453_scattered cinema
ILSVRC2012_val_00003457_scattered revolver
ILSVRC2012_val_00003483_scattered lawn
ILSVRC2012_val_00003488_scattered sewing
ILSVRC2012_val_00003496_scattered coil
ILSVRC2012_val_00003503_scattered kimono
ILSVRC2012_val_00003508_scattered solar
ILSVRC2012_val_00003536_scattered bell
ILSVRC2012_val_00003551_scattered koala
ILSVRC2012_val_00003574_scattered sea
ILSVRC2012_val_00003600_scattered broccoli
ILSVRC2012_val_00003640_scattered balloon
ILSVRC2012_val_00003673_scattered iPod
ILSVRC2012_val_00003674_scattered basketball
ILSVRC2012_val_00003689_scattered piggy
ILSVRC2012_val_00003713_scattered torch
ILSVRC2012_val_00003739_scattered solar
ILSVRC2012_val_00003766_scattered skunk
ILSVRC2012_val_00003770_scattered screw
ILSVRC2012_val_00003772_scattered basketball
ILSVRC2012_val_00003801_scattered water
ILSVRC2012_val_00003843_scattered lemon
ILSVRC2012_val_00003901_scattered seat
ILSVRC2012_val_00003908_scattered hotdog
ILSVRC2012_val_00003909_scattered freight
ILSVRC2012_val_00003915_scattered balloon
ILSVRC2012_val_00003916_scattered castle
ILSVRC2012_val_00003923_scattered kimono
ILSVRC2012_val_00003927_scattered washbasin
ILSVRC2012_val_00003930_scattered hotdog
ILSVRC2012_val_00003949_scattered mailbox
ILSVRC2012_val_00003955_scattered jellyfish
ILSVRC2012_val_00004010_scattered washbasin
ILSVRC2012_val_00004020_scattered jigsaw
ILSVRC2012_val_00004028_scattered go-kart
ILSVRC2012_val_00004031_scattered artichoke
ILSVRC2012_val_00004043_scattered milk
ILSVRC2012_val_00004067_scattered solar
ILSVRC2012_val_00004092_scattered mailbox
ILSVRC2012_val_00004116_scattered car
ILSVRC2012_val_00004135_scattered snow
ILSVRC2012_val_00004139_scattered handkerchief
ILSVRC2012_val_00004175_scattered jellyfish
ILSVRC2012_val_00004207_scattered broccoli
ILSVRC2012_val_00004209_scattered computer
ILSVRC2012_val_00004213_scattered custard
ILSVRC2012_val_00004230_scattered sewing
ILSVRC2012_val_00004239_scattered torch
ILSVRC2012_val_00004302_scattered sea
ILSVRC2012_val_00004337_scattered planetarium
ILSVRC2012_val_00004368_scattered custard
ILSVRC2012_val_00004389_scattered freight
ILSVRC2012_val_00004399_scattered car
ILSVRC2012_val_00004424_scattered accordion
ILSVRC2012_val_00004447_scattered cannon
ILSVRC2012_val_00004471_scattered coil
ILSVRC2012_val_00004498_scattered solar
ILSVRC2012_val_00004551_scattered strainer
ILSVRC2012_val_00004589_scattered jigsaw
ILSVRC2012_val_00004622_scattered common
ILSVRC2012_val_00004647_scattered castle
ILSVRC2012_val_00004656_scattered accordion
ILSVRC2012_val_00004663_scattered piggy
ILSVRC2012_val_00004807_scattered cinema
ILSVRC2012_val_00004808_scattered skunk
ILSVRC2012_val_00004812_scattered balloon
